id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,sqft_living15,sqft_lot15
7922800400,95.1,5,3.25,3.25,14.342,2,0,2.96,11.044
1516000055,65,3,2.25,2.15,21.235,1,0,2.57,18.9
2123039032,36.99,1,0.75,0.76,10.079,1,1,1.23,14.267
9297300045,55,3,2,1.97,4.166,2,0,2.39,4.166
1860600135,238.4,5,2.5,3.65,9.05,2,0,2.88,5.4
1560930070,84,4,3.5,2.84,40.139,1,0,3.18,36.852
2122039094,70.5,3,3,1.97,20.978,2,1,2.28,75.396
622049114,212.5,3,2.5,5.403,24.069,2,1,3.98,104.374
1373800295,145,3,3,4.38,6.32,2,0,3.08,7.68
2998800125,73,2,2.25,2.13,4.92,1.5,0,2.13,4.92
3760500116,307,3,2.5,3.93,55.867,1,1,2.73,26.324
1959701890,86.5,4,1.75,1.8,4.18,2,0,2.18,4.62
1742800060,50.1,3,1.75,1.97,7.972,1,0,2.46,9.796
579003610,51.75,3,1.5,1.43,5.2,1,0,2.21,6.24
1563102435,95,3,1.75,2.15,4.2,1,0,2.51,7.5
7855801610,121.6,4,2.5,3.19,8.684,1,0,3.16,8.684
623069068,42.5,3,1,1.52,213.444,1.5,0,2.64,213.444
4441300240,120,3,2,3.66,22.41,1,0,2.68,8.25
1455100116,39.75,3,1.25,1.51,13.737,1,0,2.56,10.202
5700004028,245,4,4.25,4.25,6.552,2,0,3.64,8.841
3524039204,79,4,2.75,2.84,11.9,1,0,2.79,10.07
7855300200,124.25,4,2.75,2.68,8.5,1,0,2.94,8.65
7567600045,82.5,2,1,1.15,12.775,1,1,2.44,11.852
4055701200,195.5,4,2.75,3.12,7.898,1,1,2.63,13.868
3523029041,29,2,0.75,0.44,8.313,1,1,0.88,26.289
3885804305,94.9,4,1.75,2.49,7.834,1,0,3.21,7.834
7893804340,47,4,2.5,2.68,8.062,1,0,1.92,8.6
7558700030,530,6,6,7.39,24.829,2,1,4.32,24.619
1925069082,220,5,4.25,4.64,22.703,2,1,3.14,14.2
1370801331,140,4,2.5,4.04,9.63,1,0,3.16,8.025
4444800045,65.75,4,1.75,1.62,7.56,1,0,2.17,8.65
5700003985,225,4,3.5,4.44,8.125,2,0,3.99,8.505
1020069017,70,4,1,1.3,1651.359,1,0,2.56,425.581
7784400060,54.5,3,2.5,2.37,9,1,0,2.12,9.5
625059051,235,4,2.25,4.37,22.863,2.5,0,2.98,22.863
9322800260,55,4,1.75,2.03,5.688,2,0,2.32,11.107
7015200335,152.5,4,3.25,3.62,5.131,2,0,2.55,5.174
7855000550,110,4,2.5,3.83,13.8,1,0,3.46,9.875
290000055,72,2,1,2.02,7.2,1,0,2.02,7.2
6738700320,124.9,4,3.5,3.19,6,1.5,0,2.84,4
627300105,93,4,3,2.9,10.4,1,0,2.82,10.4
1922039062,48,2,1.5,1.008,26.487,1,1,1.132,24.079
3623500260,120,3,1.75,1.56,8.078,1.5,1,2.89,16.71
8106100105,385,4,4.25,5.77,21.3,2,1,4.62,22.748
2175100270,102.5,3,1.75,2.64,8,1,0,2.74,6
4219400520,173.5,4,2.25,3.04,5,2,0,2.87,5
1224059053,170,5,2,2.5,15.25,2,1,1.88,18.782
3294700030,28.095,3,1.75,1.39,8.7,1,0,1.39,10.875
3343301920,165,3,2.75,2.69,8.89,2,1,2.94,8.89
2817100570,45.3,4,2.75,2.3,37.533,1,0,2.13,10.092
4139420370,176,4,5,6.055,21.63,1,0,4.89,19.223
7856640560,112.6,5,3.5,3.88,13.885,2,0,3.69,13.885
7632400400,105,3,3.5,3.19,29.982,1,0,2.6,19.878
5152920070,64.9,3,2.5,3.41,13.809,1,0,3.41,14.245
7856400240,162,4,3,3.9,9.75,1,0,3.41,9.45
7856400240,165,4,3,3.9,9.75,1,0,3.41,9.45
7631200292,66.9,2,1.75,1.95,10.766,1,0,1.78,11.721
1720069006,47.4,2,1,1.05,403.365,1,0,1.76,108.9
2322029048,99.9,3,2.75,2.83,505.166,1,1,2.12,21.988
7784000110,76.5,5,1.75,2.44,15.143,1.5,0,2.39,10.907
3271800850,76.5,3,1.75,2.44,5.8,1,0,2.53,5.8
3343301910,100,5,4.5,2.12,8.944,2,1,2.87,8.944
8964800025,196.5,5,3.75,3.94,13.738,1.5,0,2.37,13.32
9829200495,92.1,4,2.5,2.31,5.362,2,0,2.53,5.96
4154305290,80.5,5,3,2.35,6.48,2,0,1.84,7.2
5700003640,209.5,5,3.75,5.34,10.655,2.5,0,3.91,9.418
7936000252,52.1,2,1,1.05,7.5,1.5,0,2.54,13.68
9272200090,159.889,4,4.5,3.78,6,2,0,2.66,6
3426049031,87,4,4.25,3.01,4.887,2,0,2.54,9.375
9294300600,124,4,3,3.01,6.139,2,0,2.1,6.798
4077800017,77.5,4,2.75,2.74,6.2,1.5,0,2.43,6
8550001515,42.9592,2,2.75,1.992,10.946,1.5,1,1.11,8.328
1825069031,55,4,1.75,2.41,8.447,2,0,2.52,14.789
1825069031,55,4,1.75,2.41,8.447,2,0,2.52,14.789
6744700423,43.2,3,1.75,1.47,6.25,1,0,2.63,7.05
6169901130,138.5,3,3,2.49,3.6,2,0,2.49,3.6
8073000265,36,3,2,1.96,8.846,1,0,2.19,6.363
2303900090,288.05,4,2.5,5.76,32.033,2,0,3.42,28.475
913000315,130,6,4.5,3.902,3.88,3,0,1.1,3.87
7781600025,115.5,3,2.5,2.49,24.691,1,1,2.8,24.121
1376800025,83.45,3,2.25,2.78,6,1,0,2.78,6
7639900025,107.5,4,4.25,3.5,8.75,1,0,3.11,8.75
8731990090,56,4,2.75,2.93,22,1,0,2.93,9.758
2620069113,38,3,2.25,1.6,39.848,1,0,1.6,39.848
3760500336,212.5,4,2.75,3.19,19.513,2,0,2.75,13.496
7855900110,108.889,4,2.75,3.46,11.35,1,0,3.2,13.874
3505100756,205,4,3,4.28,18.834,1,0,2.49,8.858
2011400583,40.2,3,2.5,2.7,9.994,1,0,2.47,10.664
7871500485,123.6,3,1.5,1.67,3.852,2,0,2.32,4.572
7203600750,42.1,3,2.5,1.93,4.505,1,0,1.55,4.505
1324049015,248.5,4,2.5,3.44,23.954,1.5,1,4.23,18.723
7645900165,81,4,1,2.15,3.588,2,0,1.95,3.588
7631800025,103.5,4,3.25,3.45,11.24,2,0,2.412,19.499
2927600675,48,4,1.75,2.22,6.5,2,0,2.43,11.6
121029034,54.9,2,1,2.034,13.392,1,1,1.156,15.961
7856410430,138.5,6,2.75,5.7,20,1,0,3.69,15.7
2322059136,85.9,3,2.5,2.92,434.728,2,0,3.15,55.216
587550470,60,3,2.75,3.58,14.217,2,0,3.99,14.674
3625059071,89.9,4,2.25,2.29,40.946,1,0,2.79,20.076
3914000095,43,5,2.5,3.86,42.733,1,0,2.52,19.353
9201300020,151.7,3,2.25,2.61,9.409,1,1,2.97,9.156
6613000585,162.05,3,2.5,3.49,9.362,1,0,3.64,7.425
2771104830,80,4,3.75,2.69,4,2,0,2.83,4
3585900500,152.5,4,4.25,4.72,21,3,0,3.01,20
5215200010,66.3,3,2.5,2.48,37.843,1.5,1,2.35,42.122
2524049215,156.435,4,3.75,3.73,17,2,0,3.88,15.55
9275700005,105.2,3,2.25,2.88,6.092,2,0,2.88,5.308
6641800020,70,4,2.5,3.27,9.65,1,0,2.34,17.357
4045100190,219.6,4,3.25,4.25,18,2,0,3.79,14.537
7701800050,58.995,5,3,2.79,19.439,1,0,1.62,19.439
7370600020,60.6,3,1.75,1.97,8.54,1,0,2.28,8.54
7855000460,145,3,2.75,3.94,9.671,1,0,3.39,9.36
4139430250,143.6,4,3.5,4.97,16.582,2,0,3.58,13.335
5569700020,79.5,4,2.5,3.23,19.193,1,0,3.23,13.42
3867400130,81,4,1.75,2,3.988,1,0,1.69,4.144
7856410020,99.816,2,2.5,3.01,16.05,1,0,3.01,11.612
4217402115,365,6,4.75,5.48,19.401,1.5,1,3.51,15.81
1024039049,101.5,3,2.5,2.92,34.527,1,0,2.48,7.933
1250204835,124,4,3,3.33,6.99,1.5,0,2.62,5.31
7603100020,96.9,4,2,2.45,5,2,0,2.36,6.09
7558300170,43.9,3,2.25,1.83,13.477,1,0,1.96,11.344
8886000005,64.9,2,2.75,2.09,23.962,2,0,1.82,32.34
8833510190,49,4,2.5,2.65,9.627,1,0,2.65,9.221
1024049024,173.5,5,3.5,4.87,7.7,2.5,0,3.22,7.7
3222049024,36.1,3,1,1.1,4.046,1.5,0,2.55,7.847
320069049,30.5,4,1.5,1.59,131.551,1,0,2.28,108.028
2927600630,99.5,4,3.5,2.78,9.55,2,0,2.724,10.634
6762700020,770,6,8,12.05,27.6,2.5,0,3.94,8.8
7986401305,76.75,2,1.75,2.21,9.374,1,0,2.14,5.64
4131900066,310,3,3,3.92,13.085,2,1,3.45,13.287
2818100255,92.2,4,2.5,2.62,14.126,1,0,2.62,8.905
7130300170,55.2,4,2.75,3.16,8.429,1,0,1.76,6.78
3459600440,131,5,3,3.65,16.6,1,0,3.15,10.4
1250202660,82.5,4,1,2.29,6.3,1.5,0,2.39,6.3
1860600535,132,4,3,2.12,3.6,2,0,2.12,3.6
4077800026,71.5,4,1.75,3.42,7.2,1,0,2.45,6.2
6169901085,144.5,4,2.5,3.2,3.6,3,0,2.49,4.08
6169900580,146.5,6,4.5,4.23,6.42,2,0,3.45,4.085
4058200985,47.2,3,1.75,2.18,7.2,1,0,2.18,7.14
3024059014,190,4,2.25,3.02,11.489,1.5,1,3.89,11.489
7159200040,290,4,3.25,4.58,4.838,2,0,3.54,6.483
2597450620,151.125,3,2.5,4.01,12.105,1,0,4.01,15.081
9273200115,125,4,2.75,4.12,12.5,1,0,3.68,5
2600020330,121.8,4,2.75,3.67,15.4,2,0,3.37,13.3
7855800910,87.1,4,2.5,2.15,8.536,1,0,2.8,9.5
724069023,124.7,1,1.25,1.81,5.07,1.5,1,2.28,5.07
2320069189,29.999,2,1,1.57,125.452,1,0,1.66,46.119
3343302110,180,3,3,2.79,13.295,2,1,3.14,11.949
5067400032,55,3,2.5,3.07,14.4,1,0,2.02,18.211
7855200120,137,4,2.75,3.72,9.45,1,0,2.9,8.605
7855400330,110,5,2.75,2.66,8.737,1,0,3.28,8.783
4219400555,132.5,3,2.5,2.28,5,2,0,2.2,5
